Dry sand - Load to 45.20% strain then unload to 0 pressure,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Unload@45.20 strain
34.9673,928.286,,,,
35.0667,944.865,,,,
35.166,961.736,,,,
35.2654,978.902,,,,
35.3647,996.368,,,,
35.4641,1014.14,,,,
35.5634,1032.22,,,,
35.6627,1050.61,,,,
35.7621,1069.32,,,,
35.8614,1088.35,,,,
35.9608,1107.71,,,,
36.0601,1127.4,,,,
36.1595,1147.43,,,,
36.2588,1167.8,,,,
36.3582,1188.51,,,,
36.4575,1209.58,,,,
36.5569,1231,,,,
36.6562,1252.78,,,,
36.7556,1274.93,,,,
36.8549,1297.46,,,,
36.9542,1320.35,,,,
37.0536,1343.64,,,,
37.1529,1367.3,,,,
37.2523,1391.37,,,,
37.3516,1415.83,,,,
37.451,1440.69,,,,
37.5503,1465.97,,,,
37.6497,1491.66,,,,
37.749,1517.77,,,,
37.8484,1544.31,,,,
37.9477,1571.29,,,,
38.0471,1598.7,,,,
38.1464,1626.56,,,,
38.2458,1654.87,,,,
38.3451,1683.64,,,,
38.4444,1712.87,,,,
38.5438,1742.56,,,,
38.6431,1772.7,,,,
38.7425,1803.3,,,,
38.8418,1834.36,,,,
38.9412,1865.89,,,,
39.0405,1897.89,,,,
39.1399,1930.36,,,,
39.2392,1963.32,,,,
39.3386,1996.76,,,,
39.4379,2030.68,,,,
39.5373,2065.1,,,,
39.6366,2100.01,,,,
39.736,2135.43,,,,
39.8353,2171.34,,,,
39.9346,2207.77,,,,
40.034,2244.72,,,,
40.1333,2282.18,,,,
40.2327,2320.16,,,,
40.332,2358.67,,,,
40.4314,2397.71,,,,
40.5307,2437.29,,,,
40.6301,2477.41,,,,
40.7294,2518.08,,,,
40.8288,2559.3,,,,
40.9281,2601.08,,,,
41.0275,2643.41,,,,
41.1268,2686.31,,,,
41.2261,2729.79,,,,
41.3255,2773.84,,,,
41.4248,2818.47,,,,
41.5242,2863.68,,,,
41.6235,2909.49,,,,
41.7229,2955.9,,,,
41.8222,3002.9,,,,
41.9216,3050.52,,,,
42.0209,3098.75,,,,
42.1203,3147.59,,,,
42.2196,3197.06,,,,
42.319,3247.16,,,,
42.4183,3297.9,,,,
42.5176,3349.28,,,,
42.617,3401.3,,,,
42.7163,3453.97,,,,
42.8157,3507.31,,,,
42.915,3561.3,,,,
43.0144,3615.97,,,,
43.1137,3671.32,,,,
43.2131,3727.34,,,,
43.3124,3784.06,,,,
43.4118,3841.47,,,,
43.5111,3899.58,,,,
43.6105,3958.4,,,,
43.7098,4017.93,,,,
43.8092,4078.18,,,,
43.9085,4139.16,,,,
44.0078,4200.87,,,,
44.1072,4263.32,,,,
44.2065,4326.52,,,,
44.3059,4390.48,,,,
44.4052,4455.19,,,,
44.5046,4520.67,,,,
44.6039,4586.92,,,,
44.7033,4653.96,,,,
44.8026,4721.79,,,,
44.902,4790.41,,,,
45.0013,4859.83,,,,
45.1007,4930.07,,,,
45.2,5001.12,,,,
45.1975,4999.33,,,,
45.195,4997.54,,,,
45.1925,4995.74,,,,
45.19,4993.95,,,,
45.1875,4992.16,,,,
45.185,4990.37,,,,
45.1825,4988.58,,,,
45.18,4986.79,,,,
45.1776,4985,,,,
45.1751,4983.21,,,,
45.1726,4981.42,,,,
45.1701,4979.63,,,,
45.1676,4977.85,,,,
45.1651,4976.06,,,,
45.1626,4974.27,,,,
45.1601,4972.49,,,,
45.1576,4970.7,,,,
45.1551,4968.92,,,,
45.1526,4967.13,,,,
45.1501,4965.35,,,,
45.1476,4963.57,,,,
45.1451,4961.78,,,,
45.1426,4960,,,,
45.1402,4958.22,,,,
45.1377,4956.44,,,,
45.1352,4954.66,,,,
45.1327,4952.88,,,,
45.1302,4951.1,,,,
45.1277,4949.32,,,,
45.1252,4947.54,,,,
45.1227,4945.76,,,,
45.1202,4943.98,,,,
