Hydrostat,,,,,
,,,,,
,,,,,
Dry sand,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Loading
36.16,1147.43,,,,
36.26,1167.8,,,,
36.36,1188.51,,,,
36.46,1209.58,,,,
36.56,1231,,,,
36.66,1252.78,,,,
36.76,1274.93,,,,
36.85,1297.46,,,,
36.95,1320.35,,,,
37.05,1343.64,,,,
37.15,1367.3,,,,
37.25,1391.37,,,,
37.35,1415.83,,,,
37.45,1440.69,,,,
37.55,1465.97,,,,
37.65,1491.66,,,,
37.75,1517.77,,,,
37.85,1544.31,,,,
37.95,1571.29,,,,
38.05,1598.7,,,,
38.15,1626.56,,,,
38.25,1654.87,,,,
38.35,1683.64,,,,
38.44,1712.87,,,,
38.54,1742.56,,,,
38.64,1772.7,,,,
38.74,1803.3,,,,
38.84,1834.36,,,,
38.94,1865.89,,,,
39.04,1897.89,,,,
39.14,1930.36,,,,
39.24,1963.32,,,,
39.34,1996.76,,,,
39.44,2030.68,,,,
39.54,2065.1,,,,
39.64,2100.01,,,,
39.74,2135.43,,,,
39.84,2171.34,,,,
39.93,2207.77,,,,
40.03,2244.72,,,,
40.13,2282.18,,,,
40.23,2320.16,,,,
40.33,2358.67,,,,
40.43,2397.71,,,,
40.53,2437.29,,,,
40.63,2477.41,,,,
40.73,2518.08,,,,
40.83,2559.3,,,,
40.93,2601.08,,,,
41.03,2643.41,,,,
41.13,2686.31,,,,
41.23,2729.79,,,,
41.33,2773.84,,,,
41.42,2818.47,,,,
41.52,2863.68,,,,
41.62,2909.49,,,,
41.72,2955.9,,,,
41.82,3002.9,,,,
41.92,3050.52,,,,
42.02,3098.75,,,,
42.12,3147.59,,,,
42.22,3197.06,,,,
42.32,3247.16,,,,
42.42,3297.9,,,,
42.52,3349.28,,,,
42.62,3401.3,,,,
42.72,3453.97,,,,
42.82,3507.31,,,,
42.92,3561.3,,,,
43.01,3615.97,,,,
43.11,3671.32,,,,
43.21,3727.34,,,,
43.31,3784.06,,,,
43.41,3841.47,,,,
43.51,3899.58,,,,
43.61,3958.4,,,,
43.71,4017.93,,,,
43.81,4078.18,,,,
43.91,4139.16,,,,
44.01,4200.87,,,,
44.11,4263.32,,,,
44.21,4326.52,,,,
44.31,4390.48,,,,
44.41,4455.19,,,,
44.50,4520.67,,,,
44.60,4586.92,,,,
44.70,4653.96,,,,
44.80,4721.79,,,,
44.90,4790.41,,,,
45.00,4859.83,,,,
45.10,4930.07,,,,
45.20,5001.12,,,,
